Á¾¸ñÄÚµå,Á¾¸ñ¸í,½ÃÀå±¸ºÐ,¼Ò¼ÓºÎ,Á¾°¡,´ëºñ,µî¶ô·ü,½Ã°¡,°í°¡,Àú°¡,°Å·¡·®,°Å·¡´ë±Ý,½Ã°¡ÃÑ¾×,»óÀåÁÖ½Ä¼ö
"096775","SKÀÌ³ëº£ÀÌ¼Ç¿ì","KOSPI",,"154000","-500","-0.32","155500","155500","154000","3956","610899500","192257604000","1248426"
"001510","SKÁõ±Ç","KOSPI",,"944","23","2.50","919","975","915","9063930","8579762582","446125121424","472590171"
"001515","SKÁõ±Ç¿ì","KOSPI",,"4380","100","2.34","4285","4380","4280","14155","61588870","17136811320","3912514"
"285130","SKÄÉ¹ÌÄ®","KOSPI",,"269000","-1000","-0.37","270500","273500","267500","252010","67848828000","3161125524000","11751396"
"28513K","SKÄÉ¹ÌÄ®¿ì","KOSPI",,"131500","-1500","-1.13","134000","134000","130000","42786","5629596000","191815105000","1458670"
"017670","SKÅÚ·¹ÄÞ","KOSPI",,"313000","15000","5.03","301500","314000","300500","775405","239417992000","22554824759000","72060143"
"000660","SKÇÏÀÌ´Ð½º","KOSPI",,"108000","1500","1.41","106000","108000","104500","4736183","504301592000","78624255420000","728002365"
"048550","SM C&C","KOSDAQ","Áß°ß±â¾÷ºÎ","5570","-50","-0.89","5560","5690","5490","4447175","24891702880","528997493400","94972620"
"063440","SM Life Design","KOSDAQ","Áß°ß±â¾÷ºÎ","3155","105","3.44","3085","3170","3035","1909691","5955761950","142382480870","45129154"
"950180","SNK","KOSDAQ","¿Ü±¹±â¾÷(¼Ò¼ÓºÎ¾øÀ½)","18850","50","0.27","18850","19450","18750","74332","1413837350","397014930000","21061800"
"064960","SNT¸ðÆ¼ºê","KOSPI",,"55100","600","1.10","55000","56200","54800","84693","4684141100","805734793600","14623136"
"100840","SNT¿¡³ÊÁö","KOSPI",,"20900","350","1.70","20650","21050","20600","20556","429965300","156890259900","7506711"
"003570","SNTÁß°ø¾÷","KOSPI",,"10400","-100","-0.95","10500","10600","10300","37522","393420950","345828048800","33252697"
"036530","SNTÈ¦µù½º","KOSPI",,"18700","100","0.54","18600","18750","18450","10069","187455650","304882668200","16303886"
"005610","SPC»ï¸³","KOSPI",,"81400","-100","-0.12","81500","81700","81000","6797","553089000","702401332600","8629009"
"011810","STX","KOSPI",,"4965","-5","-0.10","4980","5050","4955","284583","1419628290","133401109500","26868300"
"077970","STX¿£Áø","KOSPI",,"11150","50","0.45","11200","11350","11000","30838","344801400","256549279600","23008904"
"071970","STXÁß°ø¾÷","KOSPI",,"5690","50","0.89","5640","6010","5550","721422","4138104530","161402403440","28365976"
"002820","SUN&L","KOSPI",,"5900","70","1.20","5830","5900","5740","6343","36962990","74387135100","12607989"
